wrkstat,wrkslf,occ10,prestg10,indus10,marital,spwrksta,cowrksta,spocc10,sppres10,spind10,coocc10,coind10,pawrkslf,paocc10,papres10,paind10,maocc10,mapres10,maind10,sibs,childs,age,agekdbrn,degree,padeg,madeg,spdeg,major1,sex,race,reg16,mobile16,family16,incom16,born,parborn,granborn,maborn,paborn,babies,preteen,teens,adults,unrelat,earnrs,income,rincome,region,size,partyid,vote16,vote20,polviews,natspac,natenvir,natheal,natcity,natcrime,natdrug,nateduc,natrace,natarms,nataid,natfare,natroad,natsoc,natmass,natpark,natchld,natsci,natenrgy,eqwlth,spkath,colath,libath,spkrac,colrac,librac,spkcom,colcom,libcom,spkmslm,colmslm,libmslm,relig,jew,attend,postlife,relig16,jew16,sprel,happy,hapmar,hapcohab,health,life,helpful,fair,trust,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,confedvac,class,rank,satfin,finalter,finrela,premarsx,teensex,xmarsex,homosex,pornlaw,xmovie,reborn,marblk,marasian,marhisp,marwht,wordsum,sei10,partners,matesex,frndsex,acqntsex,pikupsex,paidsex,othersex,condom,idu30,evcrack,crack30,hivtest,sexornt,year,id,sampcode,sample,phase,sdastrata,sdaclusters,vpsu,vstrat,compwt,wtssnrps,wtssall,wtssnr,wtss,oversamp,formwt,wtssps
 7, 2, 930,39,6870, 2,.i,.i,  .i,.i,  .i,  .i,  .i,.i,  .n,.i,  .n,4610,48,8370,15,.i,57,21, 1,.i,.i,.i,.i, 2, 1, 2, 1, 1, 5, 1,.i, 0, 1, 1,.i,.i,.i, 2, 0, 1,12,.i, 2,  24, 3, 1, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 2, 1, 1, 2, 1, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 4,.i, 0,.i, 1,.i,.i, 2,.i,.i, 2,.i,.i,.i,.i, 3, 2, 3, 1, 3, 2, 3, 1, 2, 3, 1, 3, 1,.i, 2,.i, 2, 2, 2, 4, 3,.i,.i, 2,.i, 2, 1, 1, 1, 1, 8,60.3, 0,.i,.i,.i,.i,.i,.i,.s,.i, 2,.i, 2, 3,2022,  11, .i,10,.i,12,1.07300000000000000e+03,   1,2661,1.12270000000000003e+00,1.12270013254662104e+00,                     .y,                     .y,                     .y,1.0000,1.000,9.90514792947890355e-01
 2, 2,4520,30,8980, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 1, 430,39,8770, 430,39,8770, 2,.i,25,.i, 3, 0, 4,.i,25, 2, 1, 2, 2, 1, 4, 1,.i, 0, 1, 1,.i,.i,.i, 1,.i, 1,12,12, 2,  24, 2, 2, 1,.d,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.d, 1, 1, 1,.d, 1, 1,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 4,.i, 1, 2, 2,.i,.i, 2,.i,.i, 3, 2, 2, 1, 2, 3, 3, 2, 2, 3, 2, 2, 2, 2, 3, 2, 3, 3,.i, 3,.i, 2, 1, 4,.i,.i, 3, 4, 2,.i, 2,.i,.i,.i,.i,.i,20.1, 1, 2, 1, 2, 2, 2,.i, 1,.i, 2,.i, 1, 3,2022,  12, .i,10,.i,12,1.09400000000000000e+03,   1,2661,3.20199999999999985e-01,3.20187333346262148e-01,                     .y,                     .y,                     .y,1.0000,1.000,3.03062375557379693e-01
 1, 2,4700,38,5580, 1, 1,.i, 100,59,4670,  .i,  .i, 2,4000,50,8680,4720,28,5170, 4, 2,35,24, 1, 1, 1, 1,.i, 2, 1, 2, 2, 1, 2, 1,.i, 2, 1, 2, 0, 2, 0, 2, 0, 4,12,12, 2,  24, 7, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 2, 1, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,10,.i, 2, 1, 2,.i,10, 1, 1,.i, 3,.i, 3, 3, 1, 2, 2, 2, 2, 2, 3, 3, 2, 3, 3, 2, 3, 2,.i, 2, 5, 2, 3, 3, 4, 3,.i,.i, 2, 1, 2, 3, 3, 3, 3, 8,43.0,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  13, .i,10,.i,12,1.10000000000000000e+03,   1,2661,1.10080000000000000e+00,1.10082412002077912e+00,                     .y,                     .y,                     .y,1.0000,1.000,9.82825738269341720e-01
 2, 2,5120,45,4970, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,7200,45,8770,4610,48,8370, 4, 3,36,21, 1, 1, 1,.i,.i, 2, 1, 1, 1, 1, 2, 1,.i, 0, 1, 1, 1, 0, 1, 1, 0, 2, 2, 1, 1,  55, 5,.d, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 4, 2, 5, 2, 2, 5, 2, 2, 4, 2, 2, 5, 2, 2,.i, 1,.i, 2,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1,.i, 3,.i, 2, 2, 2,.i,.i, 1, 4, 2, 1, 2,.i,.i,.i,.i,.i,38.3, 4, 1, 1, 1, 1, 2,.i, 1,.i, 2,.i, 2, 3,2022,  14, .i,10,.i,12,1.08700000000000000e+03,   2,2661,3.85199999999999987e-01,3.85176062057172808e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.87084230750432878e-01
 7, 2,4050,21,4970, 5,.i, 1,  .i,24,  .i,4220,7690,.i,  .i,.i,  .i,  .i,.i,  .i, 4,.i,41,30, 1,.i, 1,.i,.i, 2, 1, 1, 2, 5, 3, 1,.i,.i, 1,.d,.i,.i,.i, 2, 1, 2,.i,.i, 1,  55, 3, 1, 1, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 3, 3, 1, 1, 1, 1,.i,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 2,.i, 4,.i, 2,.i,.i, 2,.i, 2, 1, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 4, 3, 2, 1, 4, 1, 1, 4,.i,.i, 2, 1, 1, 1, 1, 8,14.0,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  15, .i,10,.i,12,1.10100000000000000e+03,   2,2661,7.97000000000000042e-01,7.96990444228831252e-01,                     .y,                     .y,                     .y,1.0000,1.000,5.86182304994451564e-01
 5, 2,3620,55,8090, 3,.i,.i,  .i,.i,  .i,  .i,  .i, 2,8040,32,3190,  .i,.i,  .i, 9,.i,65,21, 1, 0, 0,.i,.i, 1, 1, 2, 3, 1, 2, 1,.i, 0, 1, 1,.i,.i,.i, 1,.i, 0,12,.i, 1,  55, 2,.d, 1, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 1, 1, 1, 1, 1,.i,.i,.d,.i,.i,.d,.i,.i,.i,.i,.i, 5,.i, 2,.i, 2, 1, 2,.i,.i, 1,.i,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 3, 2, 2, 3, 1, 1, 1,.i,.i, 2, 2, 2, 1, 2, 4,58.6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  16, .i,10,.i,12,1.07400000000000000e+03,   2,2661,2.67100000000000004e-01,2.67062003492915145e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.16082284009393666e-01
 7,.i,  .i,.i,  .i, 5,.i, 1,  .i,28,  .i,6260, 770, 2,4000,50,8680,4020,33,8680,13, 1,20,18, 1, 0, 0,.i,.i, 2, 3, 1, 1, 1, 3, 1,.i, 4, 2, 2, 1, 0, 0, 1, 0, 0,10,.i, 1,  55, 4, 3, 1, 6, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 2, 1, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1,.i, 6, 1, 1,.i,.i, 1,.i, 1, 1,.i, 2, 1, 2, 2, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1,.i, 3,.d, 2, 3, 3, 1, 1,.i,.i, 1, 2, 2, 1, 1, 1, 1, 3,  .i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  17, .i,10,.i,12,1.08700000000000000e+03,   2,2661,6.60000000000000031e-01,6.60043864961824656e-01,                     .y,                     .y,                     .y,1.0000,1.000,4.93621068060345114e-01
 2, 2,3255,64,8170, 1, 5,.i,2025,56, 590,  .i,  .i, 2, 800,60,6290,5700,47,6870, 3,.i,80,25, 3, 1, 1, 2,36, 2, 1, 2, 3, 1, 3, 1,.i, 4, 1, 1,.i,.i,.i, 3, 0, 2,12,12, 1,  55, 2, 1, 1, 3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 2, 1, 2, 1, 1, 1, 5,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i, 7,.i, 2,.i, 4, 1, 1,.i, 2,.i,.i,.i,.i, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2,.i, 3,.i, 2, 3, 3, 3, 2,.i,.i, 2,.i, 2, 2, 2, 2, 3,10,84.2, 1, 1,.i,.i,.i,.i,.i, 2,.i, 2,.i, 1, 3,2022,  18, .i,10,.i,12,1.09300000000000000e+03,   2,2661,1.04499999999999993e+00,1.04498218871863391e+00,                     .y,                     .y,                     .y,1.0000,1.000,8.10023625009709258e-01
 2, 2,3600,48,8170, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,7200,45,8770,4760,31,5480, 5,.i,35,21, 0,.i,.i,.i,.i, 2, 2, 1, 1, 1, 1, 1,.i, 2, 1, 1,.i,.i,.i, 1, 0, 1, 9, 9, 1,  55, 3,.d, 2, 4,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 2, 1, 2, 2, 1, 1,.i, 5,.i,.i, 4,.i,.i,.i,.i,.i, 5,.i, 4,.i, 0,.i, 1,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i, 3, 2, 2, 2, 2, 3, 3, 2, 3, 3, 2, 3, 1,.i, 1,.i, 3, 2, 1,.i,.i, 1, 4, 2,.i, 2,.i,.i,.i,.i,.i,24.2, 1, 1,.i,.i,.i,.i,.i, 1,.i, 2,.i, 1, 3,2022,  19, .i,10,.i,12,1.08700000000000000e+03,   2,2661,2.46600000000000014e-01,2.46645326908595808e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.01616508013542611e-01
 5, 2,5860,32,9170, 5,.i,.i,  .i,.i,  .i,  .i,  .i, 2,6260,28, 770,  .i,.i,  .i, 7,.i,89,.i, 1, 0, 0,.i,.i, 2, 1, 1, 1, 1, 3, 1,.i,.i, 2, 2,.i,.i,.i, 1,.i, 0,12,.i, 1,  55, 1,.d,.d, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 1, 1, 1, 2, 1, 1, 2, 7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2,.i, 0, 1, 2,.i,.i, 2,.i,.i, 4,.i, 2, 1, 2, 2, 2, 2, 2, 2,.d, 2, 2, 2, 2, 2, 3, 2,.i, 3,.i, 2, 1, 3, 3, 2,.i,.i, 1,.i, 1, 2, 2, 2,.d, 0,35.8,.n,.n,.n,.n,.n,.n,.n,.n,.i, 2,.i, 2, 3,2022,  20, .i,10,.i,12,1.10000000000000000e+03,   2,2661,3.87500000000000011e-01,3.87546777690756183e-01,                     .y,                     .y,                     .y,1.0000,1.000,2.93878470716754936e-01
 7, 2,9620,25,5590, 1, 1,.i,9130,35,6380,  .i,  .i,.i,  .i,.i,  .i,8320,32,1690, 4,.i,34,16, 1,.i, 0, 0,.i, 2, 3, 2,.i, 5, 2, 2,.i, 4, 2, 2,.i,.i,.i, 4, 0, 2,12, 3, 2, 123, 3, 1, 1, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 1, 2, 1, 1, 2, 2,.i,.i, 4,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 1,.i, 7,.i, 2,.i, 1, 2, 2,.i, 2, 1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 6, 2, 3, 2, 1, 1, 1, 1,.i,.i, 1, 3, 3, 3, 3, 8,23.3,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  21, .i,10,.i,12,1.09700000000000000e+03,   2,2661,1.81109999999999993e+00,1.81116781075354871e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.72527845819712455e+00
 8, 2,3600,48,8170, 1, 3,.i,7200,45,8770,  .i,  .i, 2,9120,35,6180,4020,33,7860, 6,.i,55,18, 1,.i, 0, 0,.i, 2, 2, 7, 3, 3, 3, 2,.i, 2, 2, 1,.i,.i,.i, 4, 0, 1, 9,.i, 2, 123, 3, 3, 3, 7,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 3, 1, 2, 2, 1, 3, 2,.i,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 5,.i, 0,.i, 2,.i, 9, 3, 2,.i, 4, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 5, 2, 3, 2, 1, 1, 1, 1,.i,.i, 1, 2, 3, 2, 2, 5,24.2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  22, .i,10,.i,12,1.09800000000000000e+03,   2,2661,1.35890000000000000e+00,1.35893483789915703e+00,                     .y,                     .y,                     .y,1.0000,1.000,1.33813375800530099e+00
 5, 2,5500,38,1990, 2,.i,.i,  .i,.i,  .i,  .i,  .i, 2,8220,44,2370,8320,32,1680, 1,.i,65,.i, 3,.i,.i,.i,43, 1, 1, 2, 1, 1, 3, 2,.i, 4, 2, 2,.i,.i,.i, 1,.i, 2,12,12, 2,  83, 6, 1, 1, 6,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 2, 2, 2, 3, 2, 2,.i,.i, 5,.i,.i, 5,.i,.i,.i,.i,.i, 5,.i, 2,.i, 1,.i, 2,.i,.i, 3,.i,.i, 2, 2,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i, 2, 6, 2, 3, 2, 4, 4, 1, 4,.i,.i, 2, 3, 3, 3, 3, 8,40.1,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,.i,2022,  23, .i,10,.i,12,1.09600000000000000e+03,   2,2661,5.03299999999999970e-01,5.03268964794773566e-01,                     .y,                     .y,                     .y,1.0000,1.000,4.61394018990331167e-01
